"Environment and Climate Change Canada"
"Monthly Values for April - 2017"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"ST. ALBERT","45.287","-75.064","ON","6.4","2","0.6","23.0","2","-4.0","2","0.0","2",NA,"170.6","2",NA,"0.0","16","","",NA,"323.5","0.0","6107276"
"PETAWAWA HOFFMAN","45.883","-77.250","ON","6.9","0",NA,"24.5","0","-3.5","0","7.0","0",NA,"165.6","0",NA,"0.0","14","","",NA,"333.9","0.0","610FC98"
"BALDWIN","44.267","-79.319","ON","8.3","0",NA,"28.0","0","-3.0","0","10.0","0",NA,"120.2","0",NA,"0.0","11","","",NA,"292.3","1.6","6110480"
"BARRIE LANDFILL","44.385","-79.736","ON","7.5","16",NA,"23.0","9","-2.5","9","9.6","9",NA,"104.4","9",NA,"0.0","9","","",NA,"146.7","0.0","6110556"
"BEATRICE CLIMATE","45.140","-79.403","ON","6.3","0",NA,"27.1","0","-6.0","0","",,NA,"155.6","0",NA,"","14","",,NA,"352.5","0.0","6110607"
"COLDWATER WARMINSTER","44.631","-79.539","ON","8.2","0",NA,"25.5","0","-3.0","0","15.0","0",NA,"135.6","0",NA,"0.0","13","","",NA,"295.3","1.8","6111769"
"COLLINGWOOD","44.500","-80.217","ON","8.1","0",NA,"27.2","0","-2.2","0","",,NA,"130.6","0",NA,"","10","",,NA,"298.9","0.5","6111792"
"LAGOON CITY","44.547","-79.217","ON","7.3","0",NA,"25.0","0","-1.9","0","",,NA,"",,NA,"","","",,NA,"321.5","0.0","6114295"
"MARKDALE","44.269","-80.712","ON","7.9","10",NA,"25.5","10","-8.5","10","0.0","24",NA,"110.4","18",NA,"0.0","9","","",NA,"203.4","2.0","6114979"
"MUSKOKA SNOW","44.983","-79.050","ON","",,NA,"",,"",,"10.0","16",NA,"59.6","16",NA,"","7","","",NA,"","","6115526"
"MUSKOKA","44.975","-79.303","ON","7.2","6",NA,"28.0","6","-5.9","6","",,NA,"122.2","6",NA,"","13","",,NA,"258.4","0.1","6115529"
"NIPISSING","46.100","-79.521","ON","",,NA,"",,"",,"7.0","4",NA,"109.2","4",NA,"0.0","11","","",NA,"","","6115669"
