"Environment and Climate Change Canada"
"Monthly Values for May - 2017"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"SARNIA","42.999","-82.309","ON","13.5","6",NA,"30.8","6","-1.3","6","",,NA,"85.0","6",NA,"","7","",,NA,"125.0","11.3","6127510"
"SARNIA CLIMATE","43.000","-82.300","ON","12.6","1",NA,"30.9","0","-2.0","1","",,NA,"100.7","1",NA,"","8","",,NA,"172.6","11.1","6127519"
"TOBERMORY RCS","45.233","-81.633","ON","9.6","0",NA,"22.3","0","-2.5","0","",,NA,"59.8","0",NA,"","6","",,NA,"261.8","0.0","6128330"
"WROXETER","43.863","-81.152","ON","",,NA,"",,"",,"0.0","0",NA,"100.1","0",NA,"0.0","11","","",NA,"","","6129660"
"AMHERSTBURG","42.103","-83.094","ON","14.6","0","-0.3","30.5","0","0.0","0","0.0","0",NA,"105.4","0","109.0","0.0","13","","",NA,"127.6","22.9","6130257"
"CHATHAM WPCP","42.390","-82.215","ON","15.8","28","1.2","23.0","28","13.0","28","0.0","28",NA,"28.8","28",NA,"","2","","",NA,"6.5","0.0","6131415"
"DELHI CS","42.867","-80.550","ON","12.7","0",NA,"29.5","0","-2.5","0","",,NA,"141.9","0",NA,"","13","",,NA,"173.3","9.0","6131983"
"FORT ERIE","42.883","-78.967","ON","12.6","5","-0.1","28.0","5","-0.5","5","0.0","5",NA,"145.3","5",NA,"0.0","10","","",NA,"146.9","6.3","6132470"
"GRIMSBY MOUNTAIN","43.184","-79.558","ON","12.7","0",NA,"30.0","0","1.0","0","0.0","0",NA,"177.5","0",NA,"0.0","13","","",NA,"174.9","12.0","6133055"
"HARROW CDA AUTO","42.033","-82.900","ON","13.9","0",NA,"29.4","0","0.9","0","",,NA,"108.6","0",NA,"","10","",,NA,"143.7","16.1","6133362"
