"Environment and Climate Change Canada"
"Monthly Values for June - 2017"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"ORILLIA BRAIN","44.603","-79.439","ON","17.9","0",NA,"31.5","0","6.5","0","0.0","0",NA,"113.6","0",NA,"0.0","14","","",NA,"45.7","42.6","6115811"
"PARRY SOUND CCG","45.344","-80.044","ON","16.5","0",NA,"26.7","0","6.4","0","",,NA,"156.4","0",NA,"","12","",,NA,"65.1","19.9","6116257"
"SHANTY BAY","44.399","-79.633","ON","17.4","0","0.1","31.0","0","0.0","0","0.0","0",NA,"120.2","0","136.0","0.0","17","","",NA,"59.8","42.7","6117684"
"BARRIE-ORO","44.483","-79.550","ON","16.4","1",NA,"30.0","1","4.4","1","",,NA,"127.0","3",NA,"","13","",,NA,"75.0","30.0","6117700"
"SPRUCEDALE","45.425","-79.488","ON","",,NA,"",,"",,"0.0","1",NA,"129.6","1",NA,"0.0","15","","",NA,"","","6117981"
"THORNBURY 3","44.551","-80.468","ON","",,NA,"",,"",,"0.0","0",NA,"178.9","0",NA,"0.0","17","","",NA,"","","6118240"
"UDORA","44.263","-79.161","ON","17.6","0","-0.4","31.0","0","4.0","0","0.0","0",NA,"162.3","0","152.0","0.0","18","","",NA,"52.4","39.9","6119055"
"WIARTON A","44.744","-81.109","ON","16.1","0",NA,"29.2","0","3.6","0","0.0","0",NA,"136.2","0",NA,"","16","",,NA,"78.1","21.2","6119499"
"WESTERN ISLAND (AUT)","45.033","-80.367","ON","15.3","3",NA,"24.9","3","5.9","1","",,NA,"",,NA,"","","",,NA,"79.3","5.8","6119M51"
"BORDEN AWOS","44.272","-79.912","ON","16.2","12",NA,"31.8","10","1.1","6","",,NA,"42.0","12",NA,"","7","",,NA,"58.0","25.7","611B002"
